"s1","concat_ws","customer_id","store_id","first_name","last_name","email","address_id","activebool","create_date","last_update","active"
Mary.smith,Sakilacustomer.org,1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,true,2006-02-14,2006-02-15 04:57:20.000,1
Patricia.johnson,Sakilacustomer.org,2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,true,2006-02-14,2006-02-15 04:57:20.000,1
Linda.williams,Sakilacustomer.org,3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,true,2006-02-14,2006-02-15 04:57:20.000,1
Barbara.jones,Sakilacustomer.org,4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,true,2006-02-14,2006-02-15 04:57:20.000,1
Elizabeth.brown,Sakilacustomer.org,5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,true,2006-02-14,2006-02-15 04:57:20.000,1
Jennifer.davis,Sakilacustomer.org,6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,true,2006-02-14,2006-02-15 04:57:20.000,1
Maria.miller,Sakilacustomer.org,7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,true,2006-02-14,2006-02-15 04:57:20.000,1
Susan.wilson,Sakilacustomer.org,8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,true,2006-02-14,2006-02-15 04:57:20.000,1
Margaret.moore,Sakilacustomer.org,9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,true,2006-02-14,2006-02-15 04:57:20.000,1
Dorothy.taylor,Sakilacustomer.org,10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,true,2006-02-14,2006-02-15 04:57:20.000,1
Lisa.anderson,Sakilacustomer.org,11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,true,2006-02-14,2006-02-15 04:57:20.000,1
Nancy.thomas,Sakilacustomer.org,12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,true,2006-02-14,2006-02-15 04:57:20.000,1
Karen.jackson,Sakilacustomer.org,13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,true,2006-02-14,2006-02-15 04:57:20.000,1
Betty.white,Sakilacustomer.org,14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,true,2006-02-14,2006-02-15 04:57:20.000,1
Helen.harris,Sakilacustomer.org,15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,true,2006-02-14,2006-02-15 04:57:20.000,1
Sandra.martin,Sakilacustomer.org,16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,true,2006-02-14,2006-02-15 04:57:20.000,0
Donna.thompson,Sakilacustomer.org,17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,true,2006-02-14,2006-02-15 04:57:20.000,1
Carol.garcia,Sakilacustomer.org,18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,true,2006-02-14,2006-02-15 04:57:20.000,1
Ruth.martinez,Sakilacustomer.org,19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,true,2006-02-14,2006-02-15 04:57:20.000,1
Sharon.robinson,Sakilacustomer.org,20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,true,2006-02-14,2006-02-15 04:57:20.000,1
Michelle.clark,Sakilacustomer.org,21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,true,2006-02-14,2006-02-15 04:57:20.000,1
Laura.rodriguez,Sakilacustomer.org,22,1,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,26,true,2006-02-14,2006-02-15 04:57:20.000,1
Sarah.lewis,Sakilacustomer.org,23,2,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,27,true,2006-02-14,2006-02-15 04:57:20.000,1
Kimberly.lee,Sakilacustomer.org,24,2,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,28,true,2006-02-14,2006-02-15 04:57:20.000,1
Deborah.walker,Sakilacustomer.org,25,1,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29,true,2006-02-14,2006-02-15 04:57:20.000,1
Jessica.hall,Sakilacustomer.org,26,2,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,30,true,2006-02-14,2006-02-15 04:57:20.000,1
Shirley.allen,Sakilacustomer.org,27,2,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31,true,2006-02-14,2006-02-15 04:57:20.000,1
Cynthia.young,Sakilacustomer.org,28,1,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32,true,2006-02-14,2006-02-15 04:57:20.000,1
Angela.hernandez,Sakilacustomer.org,29,2,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,33,true,2006-02-14,2006-02-15 04:57:20.000,1
Melissa.king,Sakilacustomer.org,30,1,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34,true,2006-02-14,2006-02-15 04:57:20.000,1
Brenda.wright,Sakilacustomer.org,31,2,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,35,true,2006-02-14,2006-02-15 04:57:20.000,1
Amy.lopez,Sakilacustomer.org,32,1,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,36,true,2006-02-14,2006-02-15 04:57:20.000,1
Anna.hill,Sakilacustomer.org,33,2,ANNA,HILL,ANNA.HILL@sakilacustomer.org,37,true,2006-02-14,2006-02-15 04:57:20.000,1
